GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,HA_INIT,HA_MID,HA_END
7,1,ADAPTATION,RH,60,70,0,-6,1,1,8.5540414,9.400245971,5.826374086
7,1,ADAPTATION,RH,61,71,0,-20,1,1,4.726043056,9.861324156,18.24591507
7,1,ADAPTATION,RH,62,72,0,-9,1,1,7.299765988,5.177690067,4.691186201
7,1,ADAPTATION,RH,63,73,0,-13,1,1,6.791656084,11.31195157,12.80258495
7,1,ADAPTATION,RH,64,74,0,-12,1,1,8.081924522,5.698043082,9.635334386
7,1,ADAPTATION,RH,65,75,0,-14,1,1,7.727504398,10.38931243,14.78743343
7,1,ADAPTATION,RH,66,76,0,-11,1,1,7.297214814,9.96380092,10.62250624
7,1,ADAPTATION,RH,67,77,0,-13,1,1,5.631331789,10.44407352,11.93753234
7,1,ADAPTATION,RH,68,78,0,-14,1,1,9.155582785,13.135408,11.06110392
7,1,ADAPTATION,RH,69,79,0,-14,1,1,10.32892027,6.922434112,10.76844133
7,1,ADAPTATION,RH,70,80,0,-10,1,1,8.361769717,8.715760839,12.28949813
7,1,ADAPTATION,RH,71,81,0,-10,1,1,9.101167328,8.610845119,7.942920807
7,1,ADAPTATION,RH,72,82,0,-8,1,1,7.540271279,13.38650876,10.61230638
7,1,ADAPTATION,RH,73,83,0,-11,1,1,6.687750426,12.95430324,12.91889531
7,1,ADAPTATION,RH,74,84,0,-13,1,1,7.870278338,11.75811308,12.51117886
7,1,ADAPTATION,RH,75,85,0,-17,1,1,4.435736354,7.175825789,16.35214777
7,1,ADAPTATION,RH,76,86,0,-11,1,1,10.89142543,9.4634394,10.06099738
7,1,ADAPTATION,RH,77,87,0,-13,1,1,9.465375832,11.52451283,11.31500871
7,1,ADAPTATION,RH,78,88,0,-11,1,1,3.96988164,11.21626981,13.45997394
7,1,ADAPTATION,RH,79,89,0,-9,1,1,5.040636594,9.212780605,4.107489418
7,1,ADAPTATION,RH,80,90,0,-14,1,1,8.847465335,13.66717436,12.32666666
7,1,ADAPTATION,RH,81,91,0,-14,1,1,7.404904763,9.449038981,12.70186842
7,1,ADAPTATION,RH,82,92,0,-13,1,1,7.695874618,11.46359259,10.85265653
7,1,ADAPTATION,RH,83,93,0,-11,1,1,4.582078282,14.80368177,13.68783116
7,1,ADAPTATION,RH,84,94,0,-4,1,1,8.066652297,14.30273044,5.593690329
7,1,ADAPTATION,RH,85,95,0,-15,1,1,8.205775534,10.39841271,15.00863731
7,1,ADAPTATION,RH,86,96,0,-7,1,1,9.143662277,12.38586153,7.033886003
7,1,ADAPTATION,RH,87,97,0,-13,1,1,4.956543587,14.3226179,13.09695206
7,1,ADAPTATION,RH,88,98,0,-8,1,1,9.970733139,8.979413011,3.833981065
7,1,ADAPTATION,RH,89,99,0,-12,1,1,5.834934595,12.93546823,14.22091127
7,1,ADAPTATION,RH,90,100,0,-14,1,1,8.106957128,14.82226516,14.70378834
7,1,ADAPTATION,RH,91,101,0,-13,1,1,11.0400048,13.1078088,11.04764353
7,1,ADAPTATION,RH,92,102,0,-8,1,1,10.6996185,13.61571783,10.66801842
7,1,ADAPTATION,RH,93,103,0,-7,1,1,8.844027216,11.12623199,10.04922203
7,1,ADAPTATION,RH,94,104,0,-8,1,1,10.21823151,8.535437768,6.277041832
7,1,ADAPTATION,RH,95,105,0,-14,1,1,5.815832158,9.71560787,14.64216245
7,1,ADAPTATION,RH,96,106,0,-17,1,1,9.795399334,14.40815462,16.15185096
7,1,ADAPTATION,RH,97,107,0,-10,1,1,10.00065608,11.42440212,9.255089136
7,1,ADAPTATION,RH,98,108,0,-10,1,1,6.140947048,13.00753109,10.14968076
7,1,ADAPTATION,RH,99,109,0,-22,1,1,8.502979671,9.27621802,23.05420034
7,1,ADAPTATION,RH,100,110,0,-12,1,1,13.9671524,7.759421085,11.4843016
7,1,ADAPTATION,RH,101,111,0,-4,1,1,10.19929323,7.23148803,4.436935617
7,1,ADAPTATION,RH,102,112,0,-13,1,1,10.79056699,12.03312382,13.82516895
7,1,ADAPTATION,RH,103,113,0,-15,1,1,9.539782814,7.140225566,16.20686432
7,1,ADAPTATION,RH,104,114,0,-16,1,1,6.034713683,14.44457447,14.77043327
7,1,ADAPTATION,RH,105,115,0,-19,1,1,4.577059178,13.90092349,16.68383616
7,1,ADAPTATION,RH,106,116,0,-14,1,1,8.238809806,12.22094083,15.56215343
7,1,ADAPTATION,RH,107,117,0,-11,1,1,6.391782706,13.73427449,14.53229728
7,1,ADAPTATION,RH,108,118,0,-16,1,1,5.558210873,11.46109052,14.46341897
7,1,ADAPTATION,RH,109,119,0,-11,1,1,8.193803179,8.038011289,12.62497613
7,1,ADAPTATION,RH,110,120,0,-9,1,1,9.358708325,11.49149003,5.900456989
7,1,ADAPTATION,RH,111,121,0,-14,1,1,13.02408928,10.4216973,12.03815022
7,1,ADAPTATION,RH,112,122,0,-10,1,1,7.622208308,14.34167876,9.141851112
7,1,ADAPTATION,RH,113,123,0,-10,1,1,8.745445689,12.54144856,7.689572274
7,1,ADAPTATION,RH,114,124,0,-12,1,1,13.8036809,12.70546881,12.05020947
7,1,ADAPTATION,RH,115,125,0,-4,1,1,6.535851906,11.16255556,4.299168158
7,1,ADAPTATION,RH,116,126,0,-17,1,1,9.13902065,10.15594533,13.67868279
7,1,ADAPTATION,RH,117,127,0,-11,1,1,8.122081432,12.5377976,13.46488672
7,1,ADAPTATION,RH,118,128,0,-16,1,1,11.31256083,11.13299823,15.18276027
7,1,ADAPTATION,RH,119,129,0,-15,1,1,8.923159956,14.82680548,16.54422345
7,1,ADAPTATION,RH,120,130,0,-10,1,1,11.26464597,11.33893959,11.12647428
7,1,ADAPTATION,RH,121,131,0,-8,1,1,9.567200704,10.51461378,12.73869088
7,1,ADAPTATION,RH,122,132,0,-11,1,1,10.28120104,11.70023545,12.52145149
7,1,ADAPTATION,RH,123,133,0,-7,1,1,5.442282188,14.33238593,9.595819829
7,1,ADAPTATION,RH,124,134,0,-16,1,1,7.3414261,11.06554903,16.92456895
7,1,ADAPTATION,RH,125,135,0,-11,1,1,6.18327515,12.03950248,9.561439278
7,1,ADAPTATION,RH,126,136,0,-14,1,1,5.827746531,9.305307633,11.46448082
7,1,ADAPTATION,RH,127,137,0,-15,1,1,10.69479174,12.53603829,16.4748464
